"name","url","description","platform","location"
"Energy Data eXchange","https://edx.netl.doe.gov","The Energy Data eXchange (EDX) was developed and is maintained by the Department of Energy (DOE) National Energy Technology Laboratory (NETL) to support internal and external coordination and collaboration of fossil energy research. EDX not only provides access to internal and external datasets, but also provides the tools to interact with that data. The CKAN platform was chosen to foster collaboration with other CKAN sites (i.e Data.gov).","CKAN","United States"
"Geospatial Information Clearninghouse","http://ckan.gsi.go.jp","A CKAN site providing ISO 19115 Japan Metadata Profile (JMP) 2.0 metadata of more than 67,000 datasets.","CKAN","Japan"
"datos.gob.mx","http://datos.gob.mx/busca","Open data website by the Federal Public Administration of the United Mexican States.","CKAN","Mexico"
"National Oceanic and Atmospheric Administration","https://data.noaa.gov","The data catalogue for the National Oceanic and Atmospheric Administration (NOAA)","CKAN","United States"
"Opendata Lisra","http://opendata.lisra.jp","This site is an open data portal site provided by non-profit organization Lisra.","CKAN","Japan"
"OpenDataBC","https://www.opendatabc.ca","OpenDataBC is a collaborative effort by a group of B.C. citizens.","CKAN","British Columbia, Canada"
"Tainan City Open Data","http://data.tainan.gov.tw","http://data.tainan.gov.tw is the first running open data platform in Taiwan to have implemented CKAN.","CKAN","Tainan, Taiwan, China"
"Environmental Climate Data Sweden","https://ecds.se","Environment Climate Data Sweden, ECDS, is a Swedish service facilitating the search for, publication of, and long-term accessibility of data for environment and climate related research. ECDS will be the central access point to decentralized data resources.","CKAN","Sweden"
"Oppna Data","http://oppnadata.se","The Swedish national portal for Open Data.","CKAN","Sweden"
"Open Data METI","http://datameti.go.jp/data","This site is organized by Ministry of Economy, Trade and Industry in Japan as an experimental site to examine the open data policy of Japanese government.","CKAN","Japan"
"Codeando Mexico","http://datamx.io","largest community-driven open data platform in Mexico","CKAN","Mexico"
"Surrey's Open Data","http://data.surrey.ca","Surrey Open Data","CKAN","Surrey, Canada"
"City of Zagreb Open Data Portal","http://data.zagreb.hr","City of Zagreb Open Data Portal","CKAN","Zagreb, Croatia"
"CMAP Data Hub","https://datahub.cmap.illinois.gov","Chicago Metropolitan Agency for Planning Data Hub","CKAN","Chicago, IL"
"Dados.gov.br","http://dados.gov.br","Brazilian national portal","CKAN","Brazil"
"Dados Recife","http://dados.recife.pe.gov.br","Open data portal for the municipality of Recife, Brazil","CKAN","Recife, Brazil"
"data.gov.ro","http://data.gov.ro","In 2013, the Romanian government established the Department of Online Services and Design, responsible among other things for Open Data. The Department created data.gov.ro to empower citizens to identify, download and use public datasets created or held by government.","CKAN","Romania"
"DadosRS","http://dados.rs.gov.br","Data portal for the Brazillian state Rio Grande do Sul","CKAN","Rio Grande do Sul, Brazil"
"data.gov.sk","https://data.gov.sk","The Slovak open data portal was created under the Initiative for Open Governance, which aims to improve governance through increased transparency, efficiency and accountability. It was launched in 2013.","CKAN","Slovakia"
"Banube Reference Data and Service Infrastructure","http://drdsi.jrc.ec.europa.eu","European Commission Joint Research Centre","CKAN","Europe"
"Open Data Kosovo","http://data.rks-gov.net","","CKAN","Kosovo"
"Confiscati Bene","http://www.confiscatibene.it/it",,"DKAN","Globe"
"Open Data Ministry of Finance, Czech Republic","http://data.mfcr.cz",,"DKAN","Czech Republic"
"Open Data Ministry of Defence, Czech Republic","http://data.army.cz",,"DKAN","Czech Republic"
"Code for Ikoma","http://data.code4ikoma.org",,"DKAN","Ikoma, Japan"
"Open Data Banda Aceh","http://data.bandaacehkota.go.id",,"DKAN","Banda Aceh, Indonesia"
"data.gov.au","https://data.gov.au","Data.gov.au provides an easy way to find, access and reuse public datasets from the Australian Government.","CKAN","Australia"
"Data.gc.ca","http://open.canada.ca/data","Canadas new portal, data.gc.ca, is a key part of Canadas Action Plan on Open Government to enhance transparency and accountability. data.gc.ca provides one-stop access to Government of Canada data and information.","CKAN","Canada"
